trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 1.0}",25,0,-105.54027093521077,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.8, 'e': 0.25}",20,10,-60.259897737513434,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
3,False,"{'a': 0.8, 'e': 0.1111111111111111}",30,0,-227.37444381191415,"{0: 17, 1: 2, 2: 7, 3: 0, 4: 4}",0
4,False,"{'a': 0.8, 'e': 0.0625}",25,0,-97.4926743094072,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",1
5,False,"{'a': 0.8, 'e': 0.04}",20,0,-77.70934502429303,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
6,False,"{'a': 0.8, 'e': 0.027777777777777776}",25,0,-120.32036484829223,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
7,False,"{'a': 0.8, 'e': 0.02040816326530612}",20,0,-48.86127009632438,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.8, 'e': 0.015625}",25,0,-74.41511898437993,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.8, 'e': 0.012345679012345678}",30,8,-33.686677903267544,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 0}",1
10,False,"{'a': 0.8, 'e': 0.01}",20,2,-37.10522858868345,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.8, 'e': 0.008264462809917356}",35,0,-128.52993341065195,"{0: 24, 1: 1, 2: 8, 3: 1, 4: 1}",0
12,False,"{'a': 0.8, 'e': 0.006944444444444444}",25,20,8.01370156768631,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.8, 'e': 0.005917159763313609}",20,0,-128.4701828989176,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
