trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,2,-179.39191076085555,"{0: 7, 1: 6, 2: 8, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,12,-48.96095862769573,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 1.0}",35,0,-297.669326626062,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 6}",0
4,False,"{'a': 0.5, 'e': 1.0}",35,0,-280.87963754726184,"{0: 16, 1: 5, 2: 9, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-85.91733636106018,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.74229476056064,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.37644963936847,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-195.5749323520813,"{0: 13, 1: 6, 2: 8, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-31.587075372163724,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.76685019149124,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,17,-6.79762836272327,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.54095261682747,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-135.45209569773465,"{0: 11, 1: 5, 2: 8, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.72541980967492,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-185.15511803109572,"{0: 17, 1: 0, 2: 10, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,6,-10.572145861284248,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-38.66389102150092,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-240.58165270381588,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 5}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.59902114532063,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.14170334254928,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-123.59195420818784,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-200.51551400876457,"{0: 12, 1: 6, 2: 10, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-103.12868442892325,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-114.55745598029826,"{0: 20, 1: 0, 2: 9, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",35,0,-196.01990383948265,"{0: 18, 1: 2, 2: 13, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",35,0,-257.03013940830795,"{0: 16, 1: 7, 2: 8, 3: 0, 4: 4}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-105.27375461324449,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",35,0,-183.5048520109226,"{0: 19, 1: 10, 2: 3, 3: 0, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,15,-17.31125076610518,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-119.12322073347192,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
